"Accepted Symbol","Synonym Symbol","Scientific Name","Common Name","Category","Genus","Family","Family Common Name","Order","SubClass","Class","SubDivision","Division","Kingdom","Duration","Growth Habit","Active Growth Period","Shape and Orientation","Toxicity","Palatable Human"
"PHAL2","","Phleum alpinum","alpine timothy","Monocot","Phleum","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring and Summer","Erect","None","No"
"PHPR3","","Phleum pratense","timothy","Monocot","Phleum","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring and Summer","Erect","None","No"
"PHDI3","","Phlox diffusa","spreading phlox","Dicot","Phlox","Polemoniaceae","Phlox family","Solanales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Subshrub, Forb/herb","Spring and Summer","Decumbent","None","No"
"PHLO2","","Phlox longifolia","longleaf phlox","Dicot","Phlox","Polemoniaceae","Phlox family","Solanales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Subshrub, Forb/herb","Spring and Summer","Semi-Erect","None","No"
"PHAU7","","Phragmites australis","common reed","Monocot","Phragmites","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Subshrub, Shrub, Graminoid","Spring","Erect","None","No"
"PHNO2","","Phyla nodiflora","turkey tangle fogfruit","Dicot","Phyla","Verbenaceae","Verbena family","Lamiales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Summer","Prostrate","None","No"
"PHAM4","","Phytolacca americana","American pokeweed","Dicot","Phytolacca","Phytolaccaceae","Pokeweed family","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","Slight","Yes"
"PIEN","","Picea engelmannii","Engelmann spruce","Gymnosperm","Picea","Pinaceae","Pine family","Pinales","","Pinopsida","","Coniferophyta","Plantae","Perennial","Tree","Spring and Summer","Conical","None","No"
"PIPU","","Picea pungens","blue spruce","Gymnosperm","Picea","Pinaceae","Pine family","Pinales","","Pinopsida","","Coniferophyta","Plantae","Perennial","Tree","Spring and Summer","Conical","None","No"
"PIDE4","","Picrothamnus desertorum","bud sagebrush","Dicot","Picrothamnus","Asteraceae","Aster family","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Subshrub, Shrub","Spring","Rounded","Moderate","No"
